"id","repo_fullname","commits_count","commits_days_since_first","commits_days_since_last","commits_total_lines_added","commits_total_lines_removed","commits_avg_added","commits_avg_removed","commits_avg_files_changed","commits_avg_message_length","commits_avg_per_day","commits_avg_per_day_real","commits_max_per_day","contributors_count","contributors_top_avg_commits","contributors_top_avg_participation_week","contributors_top_avg_additions","contributors_top_avg_deletions","forks_count","forks_avg_per_day","forks_avg_max_per_day","issues_total_comments","issues_count","issues_open","issues_labels","issues_avg_labels","issues_avg_closing_time","issues_avg_comment_time","issues_avg_comments","issues_avg_comment_length","issues_avg_title_length","issues_avg_body_length","issues_avg_per_day","issues_avg_per_day_real","issues_max_per_day","repo_size","repo_topics","repo_branches","repo_age_days","repo_workflows","repo_languages","repo_milestones","repo_watchers","repo_deployments","repo_readme_length","repo_network_members","pulls_count","pulls_total_lines_added","pulls_total_lines_removed","pulls_avg_lines_added","pulls_avg_lines_removed","pulls_avg_closing_time","pulls_avg_comments","pulls_avg_review_comments","pulls_avg_Commits","pulls_avg_body_length","pulls_avg_title_length","pulls_avg_files_changed","pulls_avg_labels","pulls_avg_created_per_day","pulls_avg_created_per_day_real","pulls_max_created_per_day","releases_count","releases_tags","releases_total_downloads","releases_avg_body_length","releases_avg_title_length","releases_avg_assets","releases_avg_assets_downloads","releases_avg_assets_size","releases_avg_downloads_per_day","stars_count","stars_avg_per_day_real","stars_max_per_day","wf_count","wf_avg_duration","wf_avg_success_duration","wf_avg_failure_duration","wf_avg_successes_per_day","wf_avg_successes_per_day_real","wf_avg_fails_per_day","created_at","updated_at"
344,"Alhakem/1mac-lesson4",266,1454,1438,9896,9495,37,36,1,23,NULL,20,130,32,5,1,6,24,8,0,2,1,3,0,0,0,0,0,0,91,19,56,0,1,1,3243,0,2,1454,0,3,0,7,145,594,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,7,1,2,0,0,0,0,0,0,0,"2022-03-05 10:06:48.644805","2022-03-05 10:06:48.644805"
345,"microsoft/debugpy",1741,1548,2,909505,303450,522,174,6,90,NULL,3,32,35,45,12,728,552,51,0,3,3228,847,118,356,0,0,0,3,881,54,2182,1,1,10,40518,0,5,779,1,7,5,641,0,5274,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,66,18,0,0,0,NULL,641,1,9,12,0.28281346450617284,0.2721363811728395,0.010677083333333334,0,1,0,"2022-03-05 10:24:50.691777","2022-03-05 10:24:50.691777"
346,"MicrosoftDocs/dynamics365smb-docs-pr.nb-no",200,1795,2,286522,202586,1433,1013,62,36,NULL,1,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46089,0,6,1795,1,1,0,2,0,728,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-05 10:28:12.412781","2022-03-05 10:28:12.412781"
347,"Azure/sonic-buildimage",5828,2188,0,1911068,346647,328,59,5,317,NULL,4,18,100,49,30,213,66,792,0,7,25251,10120,1110,12606,1,0,0,2,293,53,1898,4,5,42,35766,0,18,2188,2,11,1,384,0,18689,898,398,1259766,89415,3165,224,0,3,1,11,1638,50,27,0,0,1,8,0,0,0,0,0,0,0,0,NULL,384,1,11,172,0.0029845634151593452,0.0016322809000861326,0.0013522825150732128,0,9,3,"2022-03-05 11:58:11.462006","2022-03-05 11:58:11.462006"
348,"veronicajujuy/camada12_intro",1110,271,220,94775,36307,85,33,12,33,NULL,25,182,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,20,0,0,1,1,299346,0,58,269,0,2,0,3,0,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-05 14:45:54.207627","2022-03-05 14:45:54.207627"
349,"Azure-Samples/laravel-tasks",19,1768,698,14026,1300,738,68,10,43,NULL,2,4,5,3,2,828,81,81,0,3,11,34,22,35,1,0,0,0,119,38,3282,0,1,3,1678,0,16,1768,0,4,0,26,0,1188,83,20,3836,3291,191,164,0,0,0,1,4573,36,1,1,0,1,3,8,8,1005,0,36,1,125,710991,NULL,26,1,2,0,0,0,0,0,0,0,"2022-03-05 14:46:33.494828","2022-03-05 14:46:33.494828"
350,"Azure/AzureMonitorForSAPSolutions",805,893,57,768338,726443,954,902,2,73,NULL,3,13,23,18,8,1712,1676,20,0,2,94,225,4,5,0,0,0,0,202,43,423,0,1,5,6166,0,82,893,0,3,0,34,0,948,22,3,613,340,204,113,0,0,12,4,244,33,2,0,0,1,2,36,36,313,125,16,1,7,707496485,NULL,34,1,2,0,0,0,0,0,0,0,"2022-03-05 14:53:54.377963","2022-03-05 14:53:54.377963"
351,"predixdesignsystem/px-rangepicker",282,2354,1105,86897,42968,308,152,4,35,NULL,2,10,11,13,7,287,75,8,0,1,170,72,0,43,0,0,0,2,241,53,577,0,1,4,2541,1,7,2354,0,4,0,10,40,1944,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,135,20,0,0,0,NULL,10,1,1,0,0,0,0,0,0,0,"2022-03-05 14:56:24.842948","2022-03-05 14:56:24.842948"
352,"Azure-Samples/storage-blob-cpp-getting-started",14,2125,2026,6565,4228,469,302,9,28,NULL,3,4,1,6,2,14,0,5,0,1,1,2,2,0,0,0,0,0,42,17,56,0,1,1,69,0,1,2125,0,3,0,2,0,4439,5,1,1,1,1,1,0,1,0,1,0,16,1,0,0,1,1,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-05 14:56:43.504679","2022-03-05 14:56:43.504679"
353,"PredixDev/timeseries-bootstrap",40,1858,1086,11417,7710,285,193,6,14,NULL,1,2,2,12,6,50,300,9,0,1,23,8,1,0,0,0,0,2,287,53,1933,0,1,1,382,0,2,2347,0,5,0,10,46,7071,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,25,6,0,0,0,NULL,9,1,1,0,0,0,0,0,0,0,"2022-03-05 14:57:14.862673","2022-03-05 14:57:14.862673"
