"id","repo_fullname","commits_count","commits_days_since_first","commits_days_since_last","commits_total_lines_added","commits_total_lines_removed","commits_avg_added","commits_avg_removed","commits_avg_files_changed","commits_avg_message_length","commits_avg_per_day","commits_avg_per_day_real","commits_max_per_day","contributors_count","contributors_top_avg_commits","contributors_top_avg_participation_week","contributors_top_avg_additions","contributors_top_avg_deletions","forks_count","forks_avg_per_day","forks_avg_max_per_day","issues_total_comments","issues_count","issues_open","issues_labels","issues_avg_labels","issues_avg_closing_time","issues_avg_comment_time","issues_avg_comments","issues_avg_comment_length","issues_avg_title_length","issues_avg_body_length","issues_avg_per_day","issues_avg_per_day_real","issues_max_per_day","repo_size","repo_topics","repo_branches","repo_age_days","repo_workflows","repo_languages","repo_milestones","repo_watchers","repo_deployments","repo_readme_length","repo_network_members","pulls_count","pulls_total_lines_added","pulls_total_lines_removed","pulls_avg_lines_added","pulls_avg_lines_removed","pulls_avg_closing_time","pulls_avg_comments","pulls_avg_review_comments","pulls_avg_Commits","pulls_avg_body_length","pulls_avg_title_length","pulls_avg_files_changed","pulls_avg_labels","pulls_avg_created_per_day","pulls_avg_created_per_day_real","pulls_max_created_per_day","releases_count","releases_tags","releases_total_downloads","releases_avg_body_length","releases_avg_title_length","releases_avg_assets","releases_avg_assets_downloads","releases_avg_assets_size","releases_avg_downloads_per_day","stars_count","stars_avg_per_day_real","stars_max_per_day","wf_count","wf_avg_duration","wf_avg_success_duration","wf_avg_failure_duration","wf_avg_successes_per_day","wf_avg_successes_per_day_real","wf_avg_fails_per_day","created_at","updated_at"
439,"Azure-Samples/app-service-java-manage-functions-with-custom-domains",30,1790,96,9528,3568,318,119,2,21,NULL,1,3,13,2,2,326,190,1,0,1,0,1,0,0,0,0,0,0,0,20,0,0,1,1,98,0,2,1790,0,1,0,1,0,1874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,368,0,76,1,46,31368,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-07 00:34:09.766979","2022-03-07 00:34:09.766979"
447,"Azure-Samples/Custom-vision-service-iot-edge-raspberry-pi",128,1375,165,6491,2950,51,23,3,66,NULL,3,12,12,8,2,48,20,117,0,3,106,77,7,1,0,0,0,1,288,48,2064,0,1,3,19558,0,2,1375,0,4,0,156,0,8069,120,2,64,12,32,6,0,1,0,2,1367,43,5,0,0,1,1,11,11,892,0,50,1,81,22327133,NULL,156,1,3,0,0,0,0,0,0,0,"2022-03-07 00:48:46.98579","2022-03-07 00:48:46.98579"
450,"elementary/print",27,3622,1336,2223,1385,82,51,2,39,NULL,1,4,5,4,2,102,61,0,0,0,20,17,4,0,0,0,0,1,206,28,180,0,2,8,48,1,2,1780,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,257,20,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-07 01:01:58.261963","2022-03-07 01:01:58.261963"
451,"microsoft/SurfaceDeploymentAccelerator",57,690,230,12870,6848,226,120,2,48,NULL,2,7,0,0,0,0,0,14,0,1,77,38,4,1,0,0,0,2,296,36,371,0,1,6,262,0,2,690,0,2,0,43,0,11777,14,1,431,232,431,232,0,0,13,4,0,7,5,0,0,1,1,0,0,0,0,0,0,0,0,NULL,43,1,2,0,0,0,0,0,0,0,"2022-03-07 01:02:42.699144","2022-03-07 01:02:42.699144"
452,"Azure-Samples/event-grid-dotnet-publish-consume-events",49,1406,179,5378,1647,110,34,4,64,NULL,3,9,5,6,2,124,55,31,0,2,13,23,4,0,0,0,0,0,300,48,227,0,1,4,54,0,1,1406,0,1,0,37,0,4831,31,2,49,47,24,23,0,1,0,1,777,23,1,0,0,1,2,1,1,1850,0,57,1,1850,33669,NULL,37,1,2,0,0,0,0,0,0,0,"2022-03-07 01:03:23.404919","2022-03-07 01:03:23.404919"
455,"Azure/functions-action",78,919,67,1716303,1701418,22004,21813,12,89,NULL,2,10,21,1,1,42749,42523,27,0,1,371,117,8,75,0,0,0,3,600,41,1463,0,1,5,21401,0,11,919,11,6,0,88,0,14201,27,1,12,12,12,12,0,2,0,1,5064,32,1,2,0,1,1,18,18,0,504,30,0,0,0,NULL,88,1,4,58,0.06446320242656449,0.05501456736909323,0.009448635057471264,0,8,0,"2022-03-07 01:40:31.203096","2022-03-07 01:40:31.203096"
457,"OfficeDev/VBA-content",2452,2383,1293,16553270,13737821,6751,5603,20,60,NULL,6,156,99,15,2,2515,2521,446,0,4,1527,676,0,255,0,0,0,2,1265,40,157,0,1,58,173138,0,10,2383,0,1,0,490,0,1930,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,490,1,4,0,0,0,0,0,0,0,"2022-03-07 02:06:40.169729","2022-03-07 02:06:40.169729"
458,"Azure-Samples/azure-solutions-digital-marketing-reference-implementation",17,1877,1775,136081,1075,8005,63,31,153,NULL,2,4,2,7,3,9720,80,18,0,1,11,8,5,0,0,0,0,1,83,36,189,0,1,2,7112,0,2,2069,0,6,0,25,0,646,18,1,14,8,14,8,0,2,0,1,106,54,4,0,0,1,1,0,0,0,0,0,0,0,0,NULL,25,1,1,0,0,0,0,0,0,0,"2022-03-07 02:07:06.185616","2022-03-07 02:07:06.185616"
459,"bbdaniels/git-flow-demo",14,1096,186,478,19,34,1,1,41,NULL,5,10,2,4,2,22,2,2,0,1,9,62,0,0,0,0,0,0,51,19,5,0,8,17,9,0,3,1096,0,0,0,1,0,93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-07 02:07:23.526177","2022-03-07 02:07:23.526177"
460,"Azure/terraform-azurerm-vmss-cloudinit",8,1521,1298,1130,189,141,24,6,27,NULL,2,3,5,1,1,145,28,30,0,1,6,10,7,2,0,0,0,0,187,38,279,0,1,2,24,0,1,1521,0,5,0,24,0,5454,33,4,21,5,5,1,0,0,0,1,246,37,1,0,0,1,2,2,2,0,89,14,0,0,0,NULL,24,1,1,0,0,0,0,0,0,0,"2022-03-07 02:07:42.948421","2022-03-07 02:07:42.948421"
